id	filename	md5	size	state
88d0c480-ee1a-4261-b675-fa30ddfe6420	TCGA-E2-A10A.AA1BACC4-0B3D-4E2E-865E-24B570DA4E74.PDF	3e7b84c4298a7b1760e60a2d6bcd81e6	239188	validated
25568ffa-afe7-4b73-848d-c72c24a059f4	TCGA-E9-A1R5.141B770B-22DD-4C87-AFF7-04D85FC9C74A.PDF	4f171f77114c9d80c1e81fdeebcc02fe	61555	validated
524ca025-1a4f-4f31-b406-977bc54242b2	TCGA-E9-A1RB.3BE8EA29-3C5F-4339-9CE7-98994B545848.PDF	e1b2b2962d3deb6d467b813f8272eb91	58684	validated
c4186ddd-256b-4ac9-9b71-bb248bc4858c	TCGA-BH-A0H7.CC7D1177-1638-4A80-A3AA-266ADC260EC9.PDF	1ad637ba57ccc35523abd85c05dfafd9	96249	validated
3cad3dc8-230b-48a3-9f4c-c47f47bed387	TCGA-BH-A0DV.3A0E1EF6-B234-46EC-BD15-95B5FAB06D45.PDF	d5778b6a21faaab2741488da5d33df8b	102287	validated
3984d6ca-1ce1-4dc3-9b67-878fe3953c92	TCGA-D8-A27G.F8B8EEB1-0603-4181-9BD3-209143024EF8.PDF	c1ae2e18239957a3f7bf8170c4a4240c	63115	validated
8f2d8977-0d31-432e-87b2-09fc28a91e19	TCGA-E9-A22A.BC3061B7-9C99-4270-84EE-B1306FA01AE2.PDF	ef9909bec16321b53b63f661cdd92836	54154	validated
1fe07d15-d082-49ae-9122-0918eba994e5	TCGA-E2-A574.F3FAB505-03FF-4FAA-ABB6-96AD20F47871.PDF	496f0cbd4e7e455f830beb3b1b78c8e2	219478	validated
1bbea23d-7de5-4a8d-9a0a-140c8268cbfe	TCGA-E2-A14R.0B6DCA80-3108-4D25-B095-3EC704598B23.PDF	4d98b60631be68f7deffee803a72b40f	258944	validated
22d86f32-1470-4bc4-a71f-37bd5533d7e2	TCGA-B6-A0X0.84A8BA4A-35F0-46C4-BDB0-64C033AFD1A8.PDF	2c77b3cc12f0d1fb3ecc5a0ac3888d4e	276159	validated
2df5bcec-b6d7-4a8c-b83d-15453698b0cb	TCGA-AO-A1KQ.EB5199BA-6164-4CFB-AFAA-B41544B83103.PDF	05887538a6c5248840852f31f047226e	146852	validated
2ed6abc3-db6d-4f52-9202-103c61f14622	TCGA-BH-A0DP.F04188AB-51CE-4AA1-B72C-399BE7863235.PDF	4eac9014f7fff02cfca0740f26de1af0	141327	validated
07ecae46-342f-482f-af24-77c5a0c385b0	TCGA-B6-A0X1.D792031E-2CCE-4341-B3B3-C7D1D84F8F6B.PDF	83645dc6a645c71a0a5d43330abdb2dc	99980	validated
22489f23-84c2-4f40-9562-7678b66d09aa	TCGA-AR-A24Z.AD07F611-0EEA-4890-A02C-6DA3F5F57C45.PDF	7b7f5af60d64ba7268ff70eb7b5f84aa	62115	validated
39cec58f-4e66-40a4-993f-243402719907	TCGA-AO-A12B.CF071D24-7BA2-43BE-B3E7-A981DBDFCA0F.PDF	2c3b928f95a806aa2d515827d6758e3a	207362	validated
93a7b1ef-154f-46fc-abea-d145fc90e983	TCGA-A8-A07S.AC2E3DDC-3AF6-45F0-8269-E9DA68F4367A.PDF	5e4a7a512f80e737ca0cc0588fb971b5	50800	validated
67082615-1510-46bb-a355-6fce223f959c	TCGA-5L-AAT0.F9B6971F-23C0-465F-BFEC-778BF228A1AE.PDF	29da1346c86175e30e580f8f8b229bcb	65377	validated
bae66749-448c-43bc-bd95-9785505140b6	TCGA-A1-A0SI.4CD6BDB7-9629-41C6-8514-7661E3D33A66.PDF	62b495008b21bc89b11826e0883a13e4	435098	validated
ce668b52-f343-468e-978b-1d6c64e5f3ac	TCGA-S3-AA17.D7E24E6B-797F-4FC9-B0FB-794C4D379091.PDF	5d79cf337ea53e6924de366b7b05752f	463383	validated
c3333373-0184-40c0-b50f-6c696a7a0faf	TCGA-AO-A03T.D5EF8C37-811E-42B7-84E5-E6ED71217971.PDF	d166222138ee85a54653d9030f208169	956190	validated
1b1b2088-e5f4-4776-aaff-dda873c901c8	TCGA-EW-A1P5.82771A56-81CA-4414-949F-EFBCAE1C98D4.PDF	465cb054d87b6f8de3c1b749a584888e	255638	validated
1b567675-2665-4416-9eb5-64ab48f54ab9	TCGA-A7-A0DA.69AC5937-3FFD-40FB-9922-79DB3CED7510.PDF	038c93cf67e5080c18be1a32928aac6b	137178	validated
93463df7-637e-4367-97a6-9f6ac1572669	TCGA-A2-A4RX.CA88491F-5572-4B0D-8E3D-D536E3CE5069.PDF	7c3d1524a83dd2ef55897e14d7fd520f	418057	validated
58b5fc7f-2921-40ff-a075-74ac72000288	TCGA-E9-A3QA.1F02AA5F-67B1-4BAF-A3A9-CA20BCD7FBAF.PDF	686cc8bd02dc64218982a5b7b2b893f5	60059	validated
d0e6307c-ee22-4da5-9564-73e46ef98d4c	TCGA-E9-A227.13CA22BB-5EA5-46C9-82D3-77867122D1B4.PDF	6079b0631b72a9e5f7fc61bc5b537880	69353	validated
69e9659e-3c31-408d-b4cd-cc3d3511d31e	TCGA-BH-A0BJ.A3CDF051-4162-47EC-BE8A-1519A5564518.PDF	cd106ca2deae7a1ec5d735217b1040de	111564	validated
5698fa88-fdc0-40d2-b3e9-0783fa6f327e	TCGA-A8-A09Z.DF890966-D14E-4EDF-B6E3-E10E40BA5B5D.PDF	4a1a3be7680c56d6cfdac10ab0fcfa33	84818	validated
9a0f9257-033a-43c0-91ff-43b08db76561	TCGA-Z7-A8R5.7726F7AA-88A8-4DD6-B322-6FC68893E0D2.PDF	d680374c3201c278acb665c9cf6878f5	305480	validated
426d2046-9915-494f-987f-f9acd4957d43	TCGA-EW-A1J1.E8B860F6-F3FD-4FDF-B467-8988646C2F00.PDF	55e8b1bccdb18538b5fef343a860952d	270817	validated
c166bf27-bdbc-4b72-b38a-78b2d7f78a7e	TCGA-B6-A0IQ.0ED7357E-662C-4D65-82ED-29739919068F.PDF	925c26da8f472b039e8761636c38f0d0	99793	validated
dd8717c1-1162-4164-b639-41a1b458e2b4	TCGA-BH-A0AY.06905BD3-4D17-4625-8631-46CA81D1B47B.PDF	d79fa5ac40e6684efc4342b9f5abb4db	100523	validated
2d1a5941-0eb9-4c18-a0c5-f7ab9a689944	TCGA-AQ-A0Y5.5BC01981-366E-44EC-A986-087DB7904E5C.PDF	66de48b1d561c5bf6dc5fa0c3807258b	225703	validated
1a9b6f4f-682c-495d-a055-3fcbaa01a27c	TCGA-B6-A0IA.55F3F917-E441-4C10-A3E3-0645A4E8374E.PDF	f431eb7f3e18dcfff8c0caa470d1b3dc	120335	validated
77278df2-e1a3-4e71-bef0-78b72bdf6630	TCGA-A7-A6VY.BB85F844-C710-41D5-8620-E246DC9D2C6A.PDF	cdc534c7d23ee8c5628633146d2d20fc	115274	validated
